RandomForestCIDIDS_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
RandomForestCIDIDS_RODADA_1_5F(1)	92.41124725341797	99.07196807861328	14.300151824951172	[13, 49, 66, 55, 40]	
RandomForestCIDIDS_RODADA_1_5F(2)	92.41124725341797	99.07196807861328	14.300151824951172	[13, 49, 66, 55, 40]	
RandomForestCIDIDS_RODADA_1_5F(3)	92.41124725341797	99.07196807861328	14.300151824951172	[13, 49, 66, 55, 40]	
RandomForestCIDIDS_RODADA_1_5F(4)	92.41124725341797	99.07196807861328	14.300151824951172	[13, 49, 66, 55, 40]	
RandomForestCIDIDS_RODADA_1_5F(5)	92.41124725341797	99.07196807861328	14.300151824951172	[13, 49, 66, 55, 40]	
RandomForestCIDIDS_RODADA_1_5F(6)	92.41124725341797	99.07196807861328	14.300151824951172	[13, 49, 66, 55, 40]	
RandomForestCIDIDS_RODADA_1_5F(7)	92.41124725341797	99.07196807861328	14.300151824951172	[13, 49, 66, 55, 40]	
RandomForestCIDIDS_RODADA_1_5F(8)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(9)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(10)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(11)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(12)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(13)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(14)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(15)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(16)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(17)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(18)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(19)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(20)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(21)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(22)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(23)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(24)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(25)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(26)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(27)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(28)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
