RandomForestWSN_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
RandomForestWSN_RODADA_1_5F(1)	98.76506805419922	98.76506805419922	NaN	[3, 6, 11, 8, 17]	
RandomForestWSN_RODADA_1_5F(2)	98.82054138183594	98.82054138183594	NaN	[17, 5, 8, 11, 6]	
RandomForestWSN_RODADA_1_5F(3)	98.82054138183594	98.82054138183594	NaN	[8, 17, 5, 11, 3]	
RandomForestWSN_RODADA_1_5F(4)	98.82054138183594	98.82054138183594	NaN	[11, 17, 5, 12, 8]	
RandomForestWSN_RODADA_1_5F(5)	98.82054138183594	98.82054138183594	NaN	[17, 5, 11, 12, 8]	
RandomForestWSN_RODADA_1_5F(6)	98.82054138183594	98.82054138183594	NaN	[17, 11, 8, 5, 6]	
RandomForestWSN_RODADA_1_5F(7)	98.82054138183594	98.82054138183594	NaN	[17, 11, 8, 5, 6]	
RandomForestWSN_RODADA_1_5F(8)	98.82054138183594	98.82054138183594	NaN	[17, 5, 11, 6, 8]	
RandomForestWSN_RODADA_1_5F(9)	98.82054138183594	98.82054138183594	NaN	[17, 8, 11, 5, 3]	
RandomForestWSN_RODADA_1_5F(10)	98.82054138183594	98.82054138183594	NaN	[17, 5, 11, 12, 8]	
RandomForestWSN_RODADA_1_5F(11)	98.82054138183594	98.82054138183594	NaN	[11, 17, 5, 12, 8]	
RandomForestWSN_RODADA_1_5F(12)	98.82054138183594	98.82054138183594	NaN	[8, 11, 17, 5, 3]	
RandomForestWSN_RODADA_1_5F(13)	98.82054138183594	98.82054138183594	NaN	[5, 8, 17, 11, 7]	
RandomForestWSN_RODADA_1_5F(14)	98.82054138183594	98.82054138183594	NaN	[5, 8, 17, 11, 7]	
RandomForestWSN_RODADA_1_5F(15)	98.82054138183594	98.82054138183594	NaN	[11, 17, 5, 12, 8]	
RandomForestWSN_RODADA_1_5F(16)	98.82054138183594	98.82054138183594	NaN	[11, 17, 5, 12, 8]	
RandomForestWSN_RODADA_1_5F(17)	98.82054138183594	98.82054138183594	NaN	[5, 17, 11, 13, 8]	
RandomForestWSN_RODADA_1_5F(18)	98.82054138183594	98.82054138183594	NaN	[5, 17, 11, 13, 8]	
RandomForestWSN_RODADA_1_5F(19)	98.82054138183594	98.82054138183594	NaN	[17, 11, 5, 12, 8]	
RandomForestWSN_RODADA_1_5F(20)	98.82054138183594	98.82054138183594	NaN	[17, 11, 5, 12, 8]	
RandomForestWSN_RODADA_1_5F(21)	98.82054138183594	98.82054138183594	NaN	[17, 5, 11, 13, 8]	
