binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 239|, Acc: 97.60994720458984%s (VN: 35394.0 VP: 33830.0 FN: 423.0 FP: 1272.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 157|, Acc: 97.60994720458984%s (VN: 35394.0 VP: 33830.0 FN: 423.0 FP: 1272.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 161|, Acc: 97.58738708496094%s (VN: 35378.0 VP: 33830.0 FN: 423.0 FP: 1288.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 164|, Acc: 97.35472869873047%s (VN: 35212.0 VP: 33831.0 FN: 422.0 FP: 1454.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 152|, Acc: 95.86711883544922%s (VN: 35721.0 VP: 32267.0 FN: 1986.0 FP: 945.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 160|, Acc: 95.6711196899414%s (VN: 35526.0 VP: 32323.0 FN: 1930.0 FP: 1140.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 133|, Acc: 93.68293762207031%s (VN: 35855.0 VP: 30584.0 FN: 3669.0 FP: 811.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 133|, Acc: 91.1518783569336%s (VN: 33744.0 VP: 30900.0 FN: 3353.0 FP: 2922.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 163|, Acc: 80.40017700195312%s (VN: 26952.0 VP: 30067.0 FN: 4186.0 FP: 9714.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 163|, Acc: 80.69487762451172%s (VN: 23570.0 VP: 33658.0 FN: 595.0 FP: 13096.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 167|, Acc: 96.46498107910156%s (VN: 34757.0 VP: 33655.0 FN: 598.0 FP: 1909.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 136|, Acc: 79.52593994140625%s (VN: 24438.0 VP: 31961.0 FN: 2292.0 FP: 12228.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 32|, Acc: 97.60994720458984%s (VN: 35394.0 VP: 33830.0 FN: 423.0 FP: 1272.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 57|, Acc: 97.60994720458984%s (VN: 35394.0 VP: 33830.0 FN: 423.0 FP: 1272.0)
